game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
25a5ddd58e1b7af731e179e2f98ed42f,2,12,1,582480,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
25a5ddd58e1b7af731e179e2f98ed42f,4,10,1,582490,7200,0,0,0,0,cff694c8186a4bd377de400e4f60fe47,d32d7f7ead681a3c45ac0401b025169b,682ee02d38c947defb4cf5e30fba6f96,3fa713b9a00c76b7b09419786eaf79e0,2,4,5,4
25a5ddd58e1b7af731e179e2f98ed42f,7,1,1,582590,7080,73,2,0,0,cff694c8186a4bd377de400e4f60fe47,2d4ae904a46dd8141197a4bdbcbcebea,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
25a5ddd58e1b7af731e179e2f98ed42f,8,2,1,582750,6920,6,2,0,0,5df2526720f9ac092e202de922f5a65f,2ffe19dc39838eaa55a52d7b2fbd687c,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,9,4,1,582780,6900,0,0,0,0,5df2526720f9ac092e202de922f5a65f,682ee02d38c947defb4cf5e30fba6f96,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,10,2,1,582780,6890,5,2,0,0,5df2526720f9ac092e202de922f5a65f,682ee02d38c947defb4cf5e30fba6f96,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,11,4,1,582800,6880,0,0,0,0,cff694c8186a4bd377de400e4f60fe47,d32d7f7ead681a3c45ac0401b025169b,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
25a5ddd58e1b7af731e179e2f98ed42f,12,2,1,582940,6740,6,2,0,0,cff694c8186a4bd377de400e4f60fe47,86f33f0bc083cd2e9c543c4631d5690b,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
25a5ddd58e1b7af731e179e2f98ed42f,13,4,1,582960,6710,0,0,0,0,cff694c8186a4bd377de400e4f60fe47,3fa713b9a00c76b7b09419786eaf79e0,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
25a5ddd58e1b7af731e179e2f98ed42f,14,1,1,582980,6700,72,2,0,0,cff694c8186a4bd377de400e4f60fe47,3fa713b9a00c76b7b09419786eaf79e0,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
25a5ddd58e1b7af731e179e2f98ed42f,15,1,1,583030,6640,1,3,1,0,5df2526720f9ac092e202de922f5a65f,ade82b71d52bf8ebd00f724b25c87e95,7a1c1f680a11456d505f05fa70712213,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
25a5ddd58e1b7af731e179e2f98ed42f,17,2,1,583250,6420,1,3,0,0,cff694c8186a4bd377de400e4f60fe47,86f33f0bc083cd2e9c543c4631d5690b,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
25a5ddd58e1b7af731e179e2f98ed42f,18,4,1,583270,6400,0,0,0,0,5df2526720f9ac092e202de922f5a65f,16d76c912992709c8be29b896b8f9417,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,19,1,1,583350,6320,1,3,0,0,5df2526720f9ac092e202de922f5a65f,ade82b71d52bf8ebd00f724b25c87e95,2ffe19dc39838eaa55a52d7b2fbd687c,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
25a5ddd58e1b7af731e179e2f98ed42f,21,1,1,583530,6150,6,2,0,0,cff694c8186a4bd377de400e4f60fe47,86f33f0bc083cd2e9c543c4631d5690b,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
25a5ddd58e1b7af731e179e2f98ed42f,22,6,1,583610,6080,2,0,0,2,cff694c8186a4bd377de400e4f60fe47,d32d7f7ead681a3c45ac0401b025169b,ade82b71d52bf8ebd00f724b25c87e95,227d578f7628770519b586873c704e07,3,4,5,1
25a5ddd58e1b7af731e179e2f98ed42f,24,3,1,583880,6080,11,1,0,0,5df2526720f9ac092e202de922f5a65f,ade82b71d52bf8ebd00f724b25c87e95,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,25,3,1,584040,6080,12,1,0,0,5df2526720f9ac092e202de922f5a65f,ade82b71d52bf8ebd00f724b25c87e95,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,26,2,1,584160,5980,1,3,0,0,cff694c8186a4bd377de400e4f60fe47,d32d7f7ead681a3c45ac0401b025169b,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
25a5ddd58e1b7af731e179e2f98ed42f,27,4,1,584180,5950,0,0,0,0,5df2526720f9ac092e202de922f5a65f,16d76c912992709c8be29b896b8f9417,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,28,2,1,584410,5720,80,2,0,0,5df2526720f9ac092e202de922f5a65f,2ffe19dc39838eaa55a52d7b2fbd687c,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,29,4,1,584440,5720,0,0,0,0,5df2526720f9ac092e202de922f5a65f,1f67aefd482a400ad8efa1f751128efb,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,3,0,0
25a5ddd58e1b7af731e179e2f98ed42f,30,5,1,584450,5720,11,0,0,0,5df2526720f9ac092e202de922f5a65f,1f67aefd482a400ad8efa1f751128efb,0370a0d090da0d0edc6319f120187e0e,9f62f01b04b82e1bf28cd7b6f69d8836,3,3,0,1
25a5ddd58e1b7af731e179e2f98ed42f,31,6,1,584710,5560,4,0,0,0,cff694c8186a4bd377de400e4f60fe47,d32d7f7ead681a3c45ac0401b025169b,16d76c912992709c8be29b896b8f9417,227d578f7628770519b586873c704e07,2,4,5,1
25a5ddd58e1b7af731e179e2f98ed42f,33,5,1,584710,5560,37,0,0,0,cff694c8186a4bd377de400e4f60fe47,d32d7f7ead681a3c45ac0401b025169b,0370a0d090da0d0edc6319f120187e0e,227d578f7628770519b586873c704e07,2,4,0,1
25a5ddd58e1b7af731e179e2f98ed42f,34,8,1,584800,5560,0,0,0,0,cff694c8186a4bd377de400e4f60fe47,d32d7f7ead681a3c45ac0401b025169b,661390debadbc4b6d53f7d1883cdd279,0370a0d090da0d0edc6319f120187e0e,3,4,4,0
25a5ddd58e1b7af731e179e2f98ed42f,36,1,1,585020,5480,1,3,0,0,5df2526720f9ac092e202de922f5a65f,ade82b71d52bf8ebd00f724b25c87e95,7a1c1f680a11456d505f05fa70712213,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
25a5ddd58e1b7af731e179e2f98ed42f,38,2,1,585220,5280,6,2,0,0,cff694c8186a4bd377de400e4f60fe47,f1970daaab6bd4c23edea9c6e4305b12,0370a0d090da0d0edc6319f120187e0e,682ee02d38c947defb4cf5e30fba6f96,2,4,0,5
25a5ddd58e1b7af731e179e2f98ed42f,40,4,1,585240,5260,0,0,0,0,5df2526720f9ac092e202de922f5a65f,7a1c1f680a11456d505f05fa70712213,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,41,2,1,585460,5050,78,2,0,0,5df2526720f9ac092e202de922f5a65f,2ffe19dc39838eaa55a52d7b2fbd687c,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,42,4,1,585480,5030,0,0,0,0,5df2526720f9ac092e202de922f5a65f,682ee02d38c947defb4cf5e30fba6f96,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,43,5,1,585500,5030,40,0,0,0,5df2526720f9ac092e202de922f5a65f,682ee02d38c947defb4cf5e30fba6f96,0370a0d090da0d0edc6319f120187e0e,3bbe7618e9c2ddc5bd16e54e132bb0e3,3,5,0,1
25a5ddd58e1b7af731e179e2f98ed42f,44,6,1,585710,4950,1,0,0,0,5df2526720f9ac092e202de922f5a65f,ade82b71d52bf8ebd00f724b25c87e95,2d4ae904a46dd8141197a4bdbcbcebea,3bbe7618e9c2ddc5bd16e54e132bb0e3,2,5,4,1
25a5ddd58e1b7af731e179e2f98ed42f,46,2,1,586140,4820,1,3,0,0,cff694c8186a4bd377de400e4f60fe47,2d4ae904a46dd8141197a4bdbcbcebea,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
25a5ddd58e1b7af731e179e2f98ed42f,47,4,1,586170,4790,0,0,0,0,5df2526720f9ac092e202de922f5a65f,682ee02d38c947defb4cf5e30fba6f96,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,48,2,1,586380,4570,80,3,0,0,5df2526720f9ac092e202de922f5a65f,2ffe19dc39838eaa55a52d7b2fbd687c,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
25a5ddd58e1b7af731e179e2f98ed42f,49,4,1,586410,4550,0,0,0,0,cff694c8186a4bd377de400e4f60fe47,2d4ae904a46dd8141197a4bdbcbcebea,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
25a5ddd58e1b7af731e179e2f98ed42f,50,2,1,586530,4430,1,3,0,0,cff694c8186a4bd377de400e4f60fe47,661390debadbc4b6d53f7d1883cdd279,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
