game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
a466c76e072fd634f6d4a8938fb63caa,2,12,1,330350,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
a466c76e072fd634f6d4a8938fb63caa,4,10,1,330350,7200,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,b265ffd84dbeef427136d140811e7d5f,90115ca1e9f545b291b18a7db8d2a700,95c8abc40fb4ecf4fa5627975450dc95,2,4,5,4
a466c76e072fd634f6d4a8938fb63caa,7,1,1,330510,7040,57,2,0,0,0a6fc39f34702cff144525dfd265f8fa,95c8abc40fb4ecf4fa5627975450dc95,3007e387a7d41a704390cb5878271b9a,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
a466c76e072fd634f6d4a8938fb63caa,9,1,1,330680,6860,108,2,0,0,9eaab5de3f7ccd60442845f4e6b70a75,90115ca1e9f545b291b18a7db8d2a700,0e6ad08f07aa1d0f125692af405249b9,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
a466c76e072fd634f6d4a8938fb63caa,11,2,1,330830,6720,1,3,0,0,0a6fc39f34702cff144525dfd265f8fa,324b2f11b1cd08156cceb7206ef69820,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
a466c76e072fd634f6d4a8938fb63caa,12,4,1,330850,6700,0,0,0,0,9eaab5de3f7ccd60442845f4e6b70a75,90115ca1e9f545b291b18a7db8d2a700,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
a466c76e072fd634f6d4a8938fb63caa,13,2,1,330930,6620,79,2,0,0,9eaab5de3f7ccd60442845f4e6b70a75,8ef226e011978823e53492a28d71217f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
a466c76e072fd634f6d4a8938fb63caa,14,4,1,330950,6590,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,cf81e3b197158f3ddedae95005aa9859,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
a466c76e072fd634f6d4a8938fb63caa,15,6,1,331060,6520,1,0,0,0,9eaab5de3f7ccd60442845f4e6b70a75,8ef226e011978823e53492a28d71217f,3007e387a7d41a704390cb5878271b9a,81efe876f336ab00d7331d21e9ac06dd,2,5,4,1
a466c76e072fd634f6d4a8938fb63caa,17,1,1,331340,6400,6,2,0,0,0a6fc39f34702cff144525dfd265f8fa,324b2f11b1cd08156cceb7206ef69820,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
a466c76e072fd634f6d4a8938fb63caa,18,5,1,331510,6230,2,1,0,0,9eaab5de3f7ccd60442845f4e6b70a75,0e6ad08f07aa1d0f125692af405249b9,95c8abc40fb4ecf4fa5627975450dc95,0370a0d090da0d0edc6319f120187e0e,3,5,4,0
a466c76e072fd634f6d4a8938fb63caa,20,2,1,331690,6050,73,2,0,0,0a6fc39f34702cff144525dfd265f8fa,324b2f11b1cd08156cceb7206ef69820,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
a466c76e072fd634f6d4a8938fb63caa,21,4,1,331720,6040,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,9cae6a7543015cd3dd8ce41776bef14d,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,2,0,0
a466c76e072fd634f6d4a8938fb63caa,22,1,1,331940,5990,79,2,0,0,0a6fc39f34702cff144525dfd265f8fa,cf81e3b197158f3ddedae95005aa9859,b265ffd84dbeef427136d140811e7d5f,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
a466c76e072fd634f6d4a8938fb63caa,24,2,1,332130,5790,73,2,0,0,9eaab5de3f7ccd60442845f4e6b70a75,8ef226e011978823e53492a28d71217f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
a466c76e072fd634f6d4a8938fb63caa,25,4,1,332150,5780,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,b265ffd84dbeef427136d140811e7d5f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
a466c76e072fd634f6d4a8938fb63caa,26,2,1,332230,5700,1,3,0,0,0a6fc39f34702cff144525dfd265f8fa,3007e387a7d41a704390cb5878271b9a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
a466c76e072fd634f6d4a8938fb63caa,27,4,1,332260,5670,0,0,0,0,9eaab5de3f7ccd60442845f4e6b70a75,3773aefed22b2274d2178f90bb6a858a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
a466c76e072fd634f6d4a8938fb63caa,28,1,1,332320,5610,9,2,0,0,9eaab5de3f7ccd60442845f4e6b70a75,0e6ad08f07aa1d0f125692af405249b9,3773aefed22b2274d2178f90bb6a858a,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
a466c76e072fd634f6d4a8938fb63caa,30,2,1,332460,5480,1,2,0,0,0a6fc39f34702cff144525dfd265f8fa,b265ffd84dbeef427136d140811e7d5f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
a466c76e072fd634f6d4a8938fb63caa,31,4,1,332480,5450,0,0,0,0,9eaab5de3f7ccd60442845f4e6b70a75,0e6ad08f07aa1d0f125692af405249b9,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
a466c76e072fd634f6d4a8938fb63caa,32,6,1,332550,5410,2,0,0,2,0a6fc39f34702cff144525dfd265f8fa,b265ffd84dbeef427136d140811e7d5f,0e6ad08f07aa1d0f125692af405249b9,96a5a2607526673603df5c2aec94f8ee,3,4,5,1
a466c76e072fd634f6d4a8938fb63caa,34,3,1,332820,5410,11,1,0,0,9eaab5de3f7ccd60442845f4e6b70a75,0e6ad08f07aa1d0f125692af405249b9,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
a466c76e072fd634f6d4a8938fb63caa,35,3,1,333020,5410,12,1,0,0,9eaab5de3f7ccd60442845f4e6b70a75,0e6ad08f07aa1d0f125692af405249b9,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
a466c76e072fd634f6d4a8938fb63caa,36,5,1,333230,5270,4,0,0,0,0a6fc39f34702cff144525dfd265f8fa,324b2f11b1cd08156cceb7206ef69820,0370a0d090da0d0edc6319f120187e0e,81efe876f336ab00d7331d21e9ac06dd,2,4,0,1
a466c76e072fd634f6d4a8938fb63caa,37,5,1,333570,5100,2,1,0,0,9eaab5de3f7ccd60442845f4e6b70a75,90115ca1e9f545b291b18a7db8d2a700,95c8abc40fb4ecf4fa5627975450dc95,0370a0d090da0d0edc6319f120187e0e,3,5,4,0
a466c76e072fd634f6d4a8938fb63caa,39,1,1,333610,5060,50,2,1,0,0a6fc39f34702cff144525dfd265f8fa,cf81e3b197158f3ddedae95005aa9859,95c8abc40fb4ecf4fa5627975450dc95,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
a466c76e072fd634f6d4a8938fb63caa,41,1,1,333800,4870,6,2,0,0,9eaab5de3f7ccd60442845f4e6b70a75,3773aefed22b2274d2178f90bb6a858a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
a466c76e072fd634f6d4a8938fb63caa,42,2,1,333930,4730,1,2,0,0,0a6fc39f34702cff144525dfd265f8fa,b265ffd84dbeef427136d140811e7d5f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
a466c76e072fd634f6d4a8938fb63caa,43,4,1,333960,4700,0,0,0,0,9eaab5de3f7ccd60442845f4e6b70a75,dec83d2271a993d4a217b1265d702bcb,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
a466c76e072fd634f6d4a8938fb63caa,44,2,1,334030,4630,80,2,0,0,9eaab5de3f7ccd60442845f4e6b70a75,0e6ad08f07aa1d0f125692af405249b9,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
a466c76e072fd634f6d4a8938fb63caa,45,4,1,334060,4610,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,324b2f11b1cd08156cceb7206ef69820,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
a466c76e072fd634f6d4a8938fb63caa,46,1,1,334130,4530,6,2,0,0,0a6fc39f34702cff144525dfd265f8fa,3007e387a7d41a704390cb5878271b9a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
a466c76e072fd634f6d4a8938fb63caa,47,1,1,334330,4330,47,2,0,0,9eaab5de3f7ccd60442845f4e6b70a75,3773aefed22b2274d2178f90bb6a858a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
a466c76e072fd634f6d4a8938fb63caa,48,2,1,334490,4170,1,3,0,0,0a6fc39f34702cff144525dfd265f8fa,324b2f11b1cd08156cceb7206ef69820,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
a466c76e072fd634f6d4a8938fb63caa,49,4,1,334520,4140,0,0,0,0,9eaab5de3f7ccd60442845f4e6b70a75,8ef226e011978823e53492a28d71217f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
a466c76e072fd634f6d4a8938fb63caa,50,1,1,334660,4000,3,2,0,0,9eaab5de3f7ccd60442845f4e6b70a75,90115ca1e9f545b291b18a7db8d2a700,0e6ad08f07aa1d0f125692af405249b9,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
a466c76e072fd634f6d4a8938fb63caa,52,2,1,334830,3840,108,2,0,0,0a6fc39f34702cff144525dfd265f8fa,b265ffd84dbeef427136d140811e7d5f,0370a0d090da0d0edc6319f120187e0e,90115ca1e9f545b291b18a7db8d2a700,2,4,0,5
a466c76e072fd634f6d4a8938fb63caa,53,4,1,334840,3820,0,0,0,0,9eaab5de3f7ccd60442845f4e6b70a75,90115ca1e9f545b291b18a7db8d2a700,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
a466c76e072fd634f6d4a8938fb63caa,54,5,1,334890,3780,2,1,0,0,9eaab5de3f7ccd60442845f4e6b70a75,8ef226e011978823e53492a28d71217f,3007e387a7d41a704390cb5878271b9a,0370a0d090da0d0edc6319f120187e0e,3,5,4,0
a466c76e072fd634f6d4a8938fb63caa,56,9,1,335080,3710,1,0,0,0,0a6fc39f34702cff144525dfd265f8fa,9cae6a7543015cd3dd8ce41776bef14d,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,2,0,0
