game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
ca963a5c2830ee97acee003347515654,2,12,1,672160,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
ca963a5c2830ee97acee003347515654,4,10,1,672160,7200,0,0,0,0,e2d25dd55740327314a2a0b874621ba8,5254f09164f6bcfba80a12e595ca4724,a78b94cd8bd99d6621af9965df740b9c,ec3eb26ab9e0bcdf5f3031a9f41c8de5,3,4,5,5
ca963a5c2830ee97acee003347515654,7,1,1,672360,7000,1,3,0,0,8e90edc4eb908903bcbb567f92488049,1b79692937a3433c730fda1c9848a158,5fd232375e25673e5a7ea79148b580e7,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
ca963a5c2830ee97acee003347515654,9,2,1,672620,6730,79,3,0,0,e2d25dd55740327314a2a0b874621ba8,59fa10b4c9f3cd3cf1048a41966fe24e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
ca963a5c2830ee97acee003347515654,10,4,1,672640,6730,0,0,0,0,e2d25dd55740327314a2a0b874621ba8,d8d211b40c1c893f34da01ebc02ac1ab,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,3,0,0
ca963a5c2830ee97acee003347515654,11,2,1,672870,6530,79,2,0,0,8e90edc4eb908903bcbb567f92488049,5fd232375e25673e5a7ea79148b580e7,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
ca963a5c2830ee97acee003347515654,12,4,1,672900,6510,0,0,0,0,e2d25dd55740327314a2a0b874621ba8,59fa10b4c9f3cd3cf1048a41966fe24e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
ca963a5c2830ee97acee003347515654,13,2,1,672980,6430,1,3,0,0,e2d25dd55740327314a2a0b874621ba8,f85a47779c423d73ea3b2aa48c54ff8b,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
ca963a5c2830ee97acee003347515654,14,4,1,673010,6400,0,0,0,0,8e90edc4eb908903bcbb567f92488049,a332971ac98803a5059664c432a420f5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
ca963a5c2830ee97acee003347515654,15,1,1,673040,6370,50,2,1,0,8e90edc4eb908903bcbb567f92488049,a78b94cd8bd99d6621af9965df740b9c,a332971ac98803a5059664c432a420f5,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
ca963a5c2830ee97acee003347515654,17,2,1,673260,6140,5,2,0,0,e2d25dd55740327314a2a0b874621ba8,5254f09164f6bcfba80a12e595ca4724,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
ca963a5c2830ee97acee003347515654,18,4,1,673280,6120,0,0,0,0,8e90edc4eb908903bcbb567f92488049,5fd232375e25673e5a7ea79148b580e7,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
ca963a5c2830ee97acee003347515654,19,2,1,673330,6080,1,3,1,0,8e90edc4eb908903bcbb567f92488049,ec3eb26ab9e0bcdf5f3031a9f41c8de5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
ca963a5c2830ee97acee003347515654,20,4,1,673360,6050,0,0,0,0,e2d25dd55740327314a2a0b874621ba8,59fa10b4c9f3cd3cf1048a41966fe24e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
ca963a5c2830ee97acee003347515654,21,1,1,673450,5950,108,2,0,0,e2d25dd55740327314a2a0b874621ba8,5254f09164f6bcfba80a12e595ca4724,59fa10b4c9f3cd3cf1048a41966fe24e,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
ca963a5c2830ee97acee003347515654,23,2,1,673620,5780,1,2,0,0,8e90edc4eb908903bcbb567f92488049,5fd232375e25673e5a7ea79148b580e7,0370a0d090da0d0edc6319f120187e0e,f85a47779c423d73ea3b2aa48c54ff8b,3,5,0,4
ca963a5c2830ee97acee003347515654,25,4,1,673660,5740,0,0,0,0,e2d25dd55740327314a2a0b874621ba8,5254f09164f6bcfba80a12e595ca4724,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
ca963a5c2830ee97acee003347515654,26,1,1,673750,5650,108,2,0,0,e2d25dd55740327314a2a0b874621ba8,5254f09164f6bcfba80a12e595ca4724,f85a47779c423d73ea3b2aa48c54ff8b,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
ca963a5c2830ee97acee003347515654,28,1,1,673910,5490,6,2,0,0,8e90edc4eb908903bcbb567f92488049,a332971ac98803a5059664c432a420f5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
ca963a5c2830ee97acee003347515654,29,6,1,674100,5320,4,0,0,0,e2d25dd55740327314a2a0b874621ba8,5254f09164f6bcfba80a12e595ca4724,a78b94cd8bd99d6621af9965df740b9c,a28c17b37a48e640bfec93966f0b2f91,2,4,5,1
ca963a5c2830ee97acee003347515654,31,5,1,674100,5320,37,0,0,0,e2d25dd55740327314a2a0b874621ba8,5254f09164f6bcfba80a12e595ca4724,0370a0d090da0d0edc6319f120187e0e,a28c17b37a48e640bfec93966f0b2f91,2,4,0,1
