game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
096e231adad0be6ab1cc89cce56847f8,2,12,1,582510,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
096e231adad0be6ab1cc89cce56847f8,4,10,1,582520,7200,0,0,0,0,01be0ad4af7aeb1f6d2cc2b6b6d6d811,8d2127290c94bd41b82a2938734bc750,99104de2626f67c1fa2ce70504970c3f,766802a8fda500d7945950de7398c9c6,2,4,5,4
096e231adad0be6ab1cc89cce56847f8,7,2,1,582760,6940,79,3,0,0,01be0ad4af7aeb1f6d2cc2b6b6d6d811,766802a8fda500d7945950de7398c9c6,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
096e231adad0be6ab1cc89cce56847f8,8,4,1,582790,6900,0,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,99104de2626f67c1fa2ce70504970c3f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,6900,0,0,0,0,0,0,0,0,0,0,0,0
096e231adad0be6ab1cc89cce56847f8,9,2,1,583030,6660,75,2,0,0,45ba8fc87f55b1191c50c400dc7ed11c,48ec4e6c52f418d5ca4ef510ba473ea0,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
096e231adad0be6ab1cc89cce56847f8,10,4,1,583070,6630,0,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,48ec4e6c52f418d5ca4ef510ba473ea0,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
096e231adad0be6ab1cc89cce56847f8,11,20,1,583220,6500,3,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,0,0,0
096e231adad0be6ab1cc89cce56847f8,12,6,1,583460,6450,2,0,0,2,01be0ad4af7aeb1f6d2cc2b6b6d6d811,42e0d7167f04a4ff958c6442da0e6851,616281dee946056b071699476fdee9ec,4c28632a1ac678cf75a2110234adbf29,3,4,5,1
096e231adad0be6ab1cc89cce56847f8,14,3,1,583740,6450,11,2,0,0,45ba8fc87f55b1191c50c400dc7ed11c,616281dee946056b071699476fdee9ec,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
096e231adad0be6ab1cc89cce56847f8,15,4,1,583740,6450,1,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,c9ef395e3fd4c1dda4a4427fd86ec1d6,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,3,0,0
096e231adad0be6ab1cc89cce56847f8,16,3,1,583950,6450,12,1,0,0,45ba8fc87f55b1191c50c400dc7ed11c,616281dee946056b071699476fdee9ec,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,6450,0,0,0,0,0,0,0,0,0,0,0,0
096e231adad0be6ab1cc89cce56847f8,17,2,1,584060,6340,1,2,0,0,01be0ad4af7aeb1f6d2cc2b6b6d6d811,c10b49616a2f4a23607dc1a8be4fde9f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
096e231adad0be6ab1cc89cce56847f8,18,4,1,584100,6300,0,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,99104de2626f67c1fa2ce70504970c3f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,6300,0,0,0,0,0,0,0,0,0,0,0,0
096e231adad0be6ab1cc89cce56847f8,19,5,1,584190,6230,45,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,48ec4e6c52f418d5ca4ef510ba473ea0,0370a0d090da0d0edc6319f120187e0e,78c0537bdedac9372864c8b2592b9ad1,3,5,0,1
0,0,0,0,0,6230,0,0,0,0,0,0,0,0,0,0,0,0
