game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
3a4e6bebf52d096f4006d199ea7e1c16,2,12,1,671280,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,4,10,1,671280,7200,0,0,0,0,cd45058739ed0ac8229849c6249aad48,3626b893fc73a5cbd67d1ea48a5c7039,83c15c0962941640faab838a8f6f151d,7dfbb5980c066844384ba7424aceae47,3,4,5,5
3a4e6bebf52d096f4006d199ea7e1c16,7,1,1,671500,6970,43,2,0,0,b5464c11e1a8a18452a7d2988badfe0c,83c15c0962941640faab838a8f6f151d,7dfbb5980c066844384ba7424aceae47,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,6970,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,9,1,1,671680,6790,9,2,0,0,cd45058739ed0ac8229849c6249aad48,3626b893fc73a5cbd67d1ea48a5c7039,a1591595c04d12e88e3cb427fb667618,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,6790,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,11,1,1,671860,6610,80,2,0,0,b5464c11e1a8a18452a7d2988badfe0c,83c15c0962941640faab838a8f6f151d,11beb0ae23e6425510297a31fa21881e,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,6610,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,13,2,1,672020,6440,47,2,0,0,cd45058739ed0ac8229849c6249aad48,31598ba01a3fff03ed0a87d7dea11dfe,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
3a4e6bebf52d096f4006d199ea7e1c16,14,4,1,672050,6420,0,0,0,0,b5464c11e1a8a18452a7d2988badfe0c,7dfbb5980c066844384ba7424aceae47,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,6420,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,15,2,1,672150,6320,1,3,0,0,b5464c11e1a8a18452a7d2988badfe0c,7dfbb5980c066844384ba7424aceae47,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
3a4e6bebf52d096f4006d199ea7e1c16,16,4,1,672190,6310,0,0,0,0,cd45058739ed0ac8229849c6249aad48,3626b893fc73a5cbd67d1ea48a5c7039,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6310,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,17,1,1,672260,6210,47,2,0,0,cd45058739ed0ac8229849c6249aad48,31598ba01a3fff03ed0a87d7dea11dfe,ff59dc439c6c323320bc355afe884fcb,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,6210,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,19,2,1,672370,6100,1,2,1,0,b5464c11e1a8a18452a7d2988badfe0c,ff52c317e26534ae1679da3c917e9fec,0370a0d090da0d0edc6319f120187e0e,3626b893fc73a5cbd67d1ea48a5c7039,3,5,0,4
3a4e6bebf52d096f4006d199ea7e1c16,21,4,1,672400,6080,0,0,0,0,cd45058739ed0ac8229849c6249aad48,a1591595c04d12e88e3cb427fb667618,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6080,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,22,6,1,672540,6020,2,0,0,2,b5464c11e1a8a18452a7d2988badfe0c,ff52c317e26534ae1679da3c917e9fec,ff59dc439c6c323320bc355afe884fcb,24b95770922cd7772df8e5250e86a702,2,5,4,1
3a4e6bebf52d096f4006d199ea7e1c16,24,3,1,672770,6020,11,1,0,0,cd45058739ed0ac8229849c6249aad48,ff59dc439c6c323320bc355afe884fcb,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
3a4e6bebf52d096f4006d199ea7e1c16,25,3,1,672930,6020,12,1,0,0,cd45058739ed0ac8229849c6249aad48,ff59dc439c6c323320bc355afe884fcb,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
0,0,0,0,0,6020,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,26,1,1,673030,5960,41,2,1,0,b5464c11e1a8a18452a7d2988badfe0c,7dfbb5980c066844384ba7424aceae47,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,5960,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,27,2,1,673120,5870,1,2,0,0,cd45058739ed0ac8229849c6249aad48,31598ba01a3fff03ed0a87d7dea11dfe,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
3a4e6bebf52d096f4006d199ea7e1c16,28,4,1,673170,5850,0,0,0,0,b5464c11e1a8a18452a7d2988badfe0c,11beb0ae23e6425510297a31fa21881e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,5850,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,29,1,1,673230,5760,98,2,0,0,b5464c11e1a8a18452a7d2988badfe0c,6ad10958a1d4920dccb1daec39bebd6b,7dfbb5980c066844384ba7424aceae47,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,5760,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,31,20,1,673390,5630,3,0,0,0,cd45058739ed0ac8229849c6249aad48,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,32,1,1,673620,5540,108,2,0,0,cd45058739ed0ac8229849c6249aad48,ff59dc439c6c323320bc355afe884fcb,31598ba01a3fff03ed0a87d7dea11dfe,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,5540,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,34,2,1,673690,5470,1,3,1,0,b5464c11e1a8a18452a7d2988badfe0c,11beb0ae23e6425510297a31fa21881e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
3a4e6bebf52d096f4006d199ea7e1c16,35,4,1,673730,5450,0,0,0,0,cd45058739ed0ac8229849c6249aad48,a1591595c04d12e88e3cb427fb667618,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,5450,0,0,0,0,0,0,0,0,0,0,0,0
3a4e6bebf52d096f4006d199ea7e1c16,36,2,1,673760,5400,1,3,1,0,cd45058739ed0ac8229849c6249aad48,3626b893fc73a5cbd67d1ea48a5c7039,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
