game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
403719b7c2a6208e817387e06ffefb77,2,12,1,676850,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
403719b7c2a6208e817387e06ffefb77,4,10,1,676850,7200,0,0,0,0,cd45058739ed0ac8229849c6249aad48,bfef77a3e57907855444410d490e7bfd,0b703add83e9319d7b3accc14e153436,a1591595c04d12e88e3cb427fb667618,2,4,5,4
403719b7c2a6208e817387e06ffefb77,7,5,1,676980,7070,45,0,0,0,cd45058739ed0ac8229849c6249aad48,a1591595c04d12e88e3cb427fb667618,0370a0d090da0d0edc6319f120187e0e,0dbfa74eaa91ec9fc8b56a0988d678bb,2,4,0,1
0,0,0,0,0,7070,0,0,0,0,0,0,0,0,0,0,0,0
403719b7c2a6208e817387e06ffefb77,8,1,1,677140,6980,1,2,0,0,bcdf0d0117f2e3d5afcd70f977eae3d6,0b703add83e9319d7b3accc14e153436,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,6980,0,0,0,0,0,0,0,0,0,0,0,0
403719b7c2a6208e817387e06ffefb77,9,1,1,677290,6830,44,2,0,0,cd45058739ed0ac8229849c6249aad48,bfef77a3e57907855444410d490e7bfd,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
0,0,0,0,0,6830,0,0,0,0,0,0,0,0,0,0,0,0
403719b7c2a6208e817387e06ffefb77,10,2,1,677470,6650,63,2,0,0,bcdf0d0117f2e3d5afcd70f977eae3d6,0b703add83e9319d7b3accc14e153436,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
403719b7c2a6208e817387e06ffefb77,11,4,1,677520,6630,0,0,0,0,cd45058739ed0ac8229849c6249aad48,bfef77a3e57907855444410d490e7bfd,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6630,0,0,0,0,0,0,0,0,0,0,0,0
403719b7c2a6208e817387e06ffefb77,12,6,1,677570,6580,4,0,0,0,cd45058739ed0ac8229849c6249aad48,a1591595c04d12e88e3cb427fb667618,f520076c438bdbb3a33e931972c16ad0,6095bcbf4e6a692492b2d9f0a3b975a8,2,4,5,1
403719b7c2a6208e817387e06ffefb77,14,5,1,677570,6580,37,0,0,0,cd45058739ed0ac8229849c6249aad48,a1591595c04d12e88e3cb427fb667618,0370a0d090da0d0edc6319f120187e0e,6095bcbf4e6a692492b2d9f0a3b975a8,2,4,0,1
0,0,0,0,0,6580,0,0,0,0,0,0,0,0,0,0,0,0
403719b7c2a6208e817387e06ffefb77,15,2,1,677830,6480,79,2,0,0,bcdf0d0117f2e3d5afcd70f977eae3d6,47890bf1519246ead13c80cf3c510e13,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
403719b7c2a6208e817387e06ffefb77,16,4,1,677870,6460,0,0,0,0,bcdf0d0117f2e3d5afcd70f977eae3d6,0b703add83e9319d7b3accc14e153436,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
403719b7c2a6208e817387e06ffefb77,17,6,1,677910,6460,2,0,0,2,cd45058739ed0ac8229849c6249aad48,a1591595c04d12e88e3cb427fb667618,0b703add83e9319d7b3accc14e153436,e2fad2d95d6b26a14e040bf8381cbff1,3,4,5,1
403719b7c2a6208e817387e06ffefb77,19,3,1,678120,6460,11,1,0,0,bcdf0d0117f2e3d5afcd70f977eae3d6,0b703add83e9319d7b3accc14e153436,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
403719b7c2a6208e817387e06ffefb77,20,3,1,678260,6460,12,1,0,0,bcdf0d0117f2e3d5afcd70f977eae3d6,0b703add83e9319d7b3accc14e153436,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,6460,0,0,0,0,0,0,0,0,0,0,0,0
