game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
58f4e85cad83adedfa96749b0cde2564,2,12,1,618790,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,4,10,1,618790,7200,0,0,0,0,8362dfecb7412f12a12713852d2ae566,ef8b068ab7ac9d387b256404acd24cd5,bfef77a3e57907855444410d490e7bfd,1a6703883f8f47bb4daf09c03be3bda2,3,4,5,5
58f4e85cad83adedfa96749b0cde2564,7,2,1,618930,7040,44,2,0,0,cd45058739ed0ac8229849c6249aad48,bfef77a3e57907855444410d490e7bfd,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
58f4e85cad83adedfa96749b0cde2564,8,4,1,618990,6980,0,0,0,0,cd45058739ed0ac8229849c6249aad48,1a6703883f8f47bb4daf09c03be3bda2,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
58f4e85cad83adedfa96749b0cde2564,9,1,1,618990,6980,97,2,0,0,cd45058739ed0ac8229849c6249aad48,1a6703883f8f47bb4daf09c03be3bda2,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,6980,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,10,2,1,619150,6840,1,3,0,0,8362dfecb7412f12a12713852d2ae566,95920e4bf5b6c15ba8dffbf959b38ba5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
58f4e85cad83adedfa96749b0cde2564,11,4,1,619190,6820,0,0,0,0,8362dfecb7412f12a12713852d2ae566,f5f0b0fd479d7c889872298f95c3d810,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,3,0,0
58f4e85cad83adedfa96749b0cde2564,12,2,1,619340,6720,1,3,0,0,cd45058739ed0ac8229849c6249aad48,a1591595c04d12e88e3cb427fb667618,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
58f4e85cad83adedfa96749b0cde2564,13,4,1,619370,6680,0,0,0,0,8362dfecb7412f12a12713852d2ae566,95920e4bf5b6c15ba8dffbf959b38ba5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6680,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,14,1,1,619440,6620,1,3,0,0,8362dfecb7412f12a12713852d2ae566,7f438c18058290903c46dfe9d71bd68a,fb64ca4b8beaf4c4c6e4575fe2f3abd7,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,6620,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,16,1,1,619690,6370,86,2,0,0,cd45058739ed0ac8229849c6249aad48,3626b893fc73a5cbd67d1ea48a5c7039,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,6370,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,17,2,1,619820,6240,1,3,0,0,8362dfecb7412f12a12713852d2ae566,722a380c9b59ef42226e8d392824dcb9,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
58f4e85cad83adedfa96749b0cde2564,18,4,1,619840,6200,0,0,0,0,cd45058739ed0ac8229849c6249aad48,31598ba01a3fff03ed0a87d7dea11dfe,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,6200,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,19,6,1,619920,6170,2,0,0,2,8362dfecb7412f12a12713852d2ae566,7f438c18058290903c46dfe9d71bd68a,1a6703883f8f47bb4daf09c03be3bda2,227d578f7628770519b586873c704e07,3,4,5,1
58f4e85cad83adedfa96749b0cde2564,21,3,1,620140,6170,11,1,0,0,cd45058739ed0ac8229849c6249aad48,1a6703883f8f47bb4daf09c03be3bda2,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
58f4e85cad83adedfa96749b0cde2564,22,3,1,620300,6170,12,1,0,0,cd45058739ed0ac8229849c6249aad48,1a6703883f8f47bb4daf09c03be3bda2,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,6170,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,23,2,1,620440,6060,6,2,0,0,8362dfecb7412f12a12713852d2ae566,fb64ca4b8beaf4c4c6e4575fe2f3abd7,0370a0d090da0d0edc6319f120187e0e,3626b893fc73a5cbd67d1ea48a5c7039,2,4,0,5
58f4e85cad83adedfa96749b0cde2564,25,4,1,620510,6030,0,0,0,0,8362dfecb7412f12a12713852d2ae566,f5f0b0fd479d7c889872298f95c3d810,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,3,0,0
58f4e85cad83adedfa96749b0cde2564,26,1,1,620600,5930,102,2,0,0,cd45058739ed0ac8229849c6249aad48,bfef77a3e57907855444410d490e7bfd,1a6703883f8f47bb4daf09c03be3bda2,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,5930,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,28,6,1,620710,5880,1,0,0,0,cd45058739ed0ac8229849c6249aad48,3626b893fc73a5cbd67d1ea48a5c7039,ef8b068ab7ac9d387b256404acd24cd5,536d860ff8c27a28f370410bd17d5ba8,2,5,4,1
58f4e85cad83adedfa96749b0cde2564,30,2,1,620980,5780,1,3,0,0,8362dfecb7412f12a12713852d2ae566,95920e4bf5b6c15ba8dffbf959b38ba5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
58f4e85cad83adedfa96749b0cde2564,31,4,1,621000,5760,0,0,0,0,cd45058739ed0ac8229849c6249aad48,31598ba01a3fff03ed0a87d7dea11dfe,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,5760,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,32,1,1,621120,5640,6,2,0,0,cd45058739ed0ac8229849c6249aad48,1a6703883f8f47bb4daf09c03be3bda2,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,5640,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,33,9,1,621190,5630,1,0,0,0,8362dfecb7412f12a12713852d2ae566,22fab2ecad98e9fed46efe57558bc41f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,2,0,0
58f4e85cad83adedfa96749b0cde2564,34,6,1,623530,5500,1,0,0,0,cd45058739ed0ac8229849c6249aad48,31598ba01a3fff03ed0a87d7dea11dfe,fb64ca4b8beaf4c4c6e4575fe2f3abd7,2374438701e2eef00de08f90f9e1de9d,2,5,4,1
58f4e85cad83adedfa96749b0cde2564,36,2,1,623760,5370,5,2,0,0,8362dfecb7412f12a12713852d2ae566,ef8b068ab7ac9d387b256404acd24cd5,0370a0d090da0d0edc6319f120187e0e,3626b893fc73a5cbd67d1ea48a5c7039,2,4,0,5
58f4e85cad83adedfa96749b0cde2564,38,4,1,623790,5340,0,0,0,0,cd45058739ed0ac8229849c6249aad48,31598ba01a3fff03ed0a87d7dea11dfe,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,5340,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,39,1,1,623850,5270,1,3,0,0,cd45058739ed0ac8229849c6249aad48,1a6703883f8f47bb4daf09c03be3bda2,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,5270,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,40,2,1,624000,5120,6,2,0,0,8362dfecb7412f12a12713852d2ae566,fb64ca4b8beaf4c4c6e4575fe2f3abd7,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
58f4e85cad83adedfa96749b0cde2564,41,4,1,624040,5080,0,0,0,0,8362dfecb7412f12a12713852d2ae566,722a380c9b59ef42226e8d392824dcb9,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
58f4e85cad83adedfa96749b0cde2564,42,2,1,624040,5080,97,2,0,0,8362dfecb7412f12a12713852d2ae566,722a380c9b59ef42226e8d392824dcb9,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
58f4e85cad83adedfa96749b0cde2564,43,4,1,624080,5080,0,0,0,0,8362dfecb7412f12a12713852d2ae566,ef8b068ab7ac9d387b256404acd24cd5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
58f4e85cad83adedfa96749b0cde2564,44,1,1,624080,5040,97,2,0,0,8362dfecb7412f12a12713852d2ae566,ef8b068ab7ac9d387b256404acd24cd5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
0,0,0,0,0,5040,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,45,2,1,624240,4880,1,3,0,0,cd45058739ed0ac8229849c6249aad48,1a6703883f8f47bb4daf09c03be3bda2,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
58f4e85cad83adedfa96749b0cde2564,46,4,1,624270,4850,0,0,0,0,8362dfecb7412f12a12713852d2ae566,95920e4bf5b6c15ba8dffbf959b38ba5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,4850,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,47,6,1,624350,4820,1,0,0,0,cd45058739ed0ac8229849c6249aad48,a1591595c04d12e88e3cb427fb667618,95920e4bf5b6c15ba8dffbf959b38ba5,536d860ff8c27a28f370410bd17d5ba8,2,5,4,1
58f4e85cad83adedfa96749b0cde2564,49,2,1,624640,4680,47,2,0,0,8362dfecb7412f12a12713852d2ae566,7f438c18058290903c46dfe9d71bd68a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
58f4e85cad83adedfa96749b0cde2564,50,4,1,624680,4680,0,0,0,0,8362dfecb7412f12a12713852d2ae566,f5f0b0fd479d7c889872298f95c3d810,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,3,0,0
58f4e85cad83adedfa96749b0cde2564,51,6,1,624860,4540,4,0,0,0,cd45058739ed0ac8229849c6249aad48,31598ba01a3fff03ed0a87d7dea11dfe,7f438c18058290903c46dfe9d71bd68a,227d578f7628770519b586873c704e07,3,5,4,1
58f4e85cad83adedfa96749b0cde2564,53,5,1,624860,4540,37,0,0,0,cd45058739ed0ac8229849c6249aad48,31598ba01a3fff03ed0a87d7dea11dfe,0370a0d090da0d0edc6319f120187e0e,227d578f7628770519b586873c704e07,3,5,0,1
58f4e85cad83adedfa96749b0cde2564,54,8,1,625020,4540,0,0,0,0,cd45058739ed0ac8229849c6249aad48,31598ba01a3fff03ed0a87d7dea11dfe,ff59dc439c6c323320bc355afe884fcb,0370a0d090da0d0edc6319f120187e0e,2,5,5,0
0,0,0,0,0,4540,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,56,6,1,625340,4420,17,0,0,1,cd45058739ed0ac8229849c6249aad48,bfef77a3e57907855444410d490e7bfd,0370a0d090da0d0edc6319f120187e0e,227d578f7628770519b586873c704e07,2,5,0,1
58f4e85cad83adedfa96749b0cde2564,57,3,1,625480,4420,16,1,0,0,8362dfecb7412f12a12713852d2ae566,95920e4bf5b6c15ba8dffbf959b38ba5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
0,0,0,0,0,4420,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,58,1,1,625750,4270,63,2,0,0,8362dfecb7412f12a12713852d2ae566,fb64ca4b8beaf4c4c6e4575fe2f3abd7,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
0,0,0,0,0,4270,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,59,2,1,625960,4060,1,3,0,0,cd45058739ed0ac8229849c6249aad48,ff59dc439c6c323320bc355afe884fcb,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
58f4e85cad83adedfa96749b0cde2564,60,4,1,625990,4030,0,0,0,0,8362dfecb7412f12a12713852d2ae566,722a380c9b59ef42226e8d392824dcb9,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,4030,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,61,1,1,626050,3980,79,3,1,0,8362dfecb7412f12a12713852d2ae566,95920e4bf5b6c15ba8dffbf959b38ba5,fb64ca4b8beaf4c4c6e4575fe2f3abd7,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,3980,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,63,9,1,626110,3970,1,0,0,0,cd45058739ed0ac8229849c6249aad48,f5f0b0fd479d7c889872298f95c3d810,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,3,0,0
58f4e85cad83adedfa96749b0cde2564,64,6,1,626270,3970,11,0,0,1,cd45058739ed0ac8229849c6249aad48,3626b893fc73a5cbd67d1ea48a5c7039,0370a0d090da0d0edc6319f120187e0e,227d578f7628770519b586873c704e07,3,5,0,1
58f4e85cad83adedfa96749b0cde2564,65,3,1,628360,3970,16,2,0,0,8362dfecb7412f12a12713852d2ae566,95920e4bf5b6c15ba8dffbf959b38ba5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
58f4e85cad83adedfa96749b0cde2564,66,4,1,628360,3970,1,0,0,0,8362dfecb7412f12a12713852d2ae566,f5f0b0fd479d7c889872298f95c3d810,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,3,0,0
58f4e85cad83adedfa96749b0cde2564,67,1,1,628560,3850,1,3,0,0,cd45058739ed0ac8229849c6249aad48,ff59dc439c6c323320bc355afe884fcb,a1591595c04d12e88e3cb427fb667618,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,3850,0,0,0,0,0,0,0,0,0,0,0,0
58f4e85cad83adedfa96749b0cde2564,69,5,1,628710,3700,1,1,0,0,8362dfecb7412f12a12713852d2ae566,fb64ca4b8beaf4c4c6e4575fe2f3abd7,1a6703883f8f47bb4daf09c03be3bda2,0370a0d090da0d0edc6319f120187e0e,2,4,5,0
0,0,0,0,0,3700,0,0,0,0,0,0,0,0,0,0,0,0
