game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
95770267429c4b7118a82bb8b4f2be54,2,12,1,672530,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
95770267429c4b7118a82bb8b4f2be54,4,10,1,672540,7200,0,0,0,0,e2d25dd55740327314a2a0b874621ba8,5254f09164f6bcfba80a12e595ca4724,a78b94cd8bd99d6621af9965df740b9c,ec3eb26ab9e0bcdf5f3031a9f41c8de5,3,4,5,5
95770267429c4b7118a82bb8b4f2be54,7,2,1,672750,6960,79,2,0,0,8e90edc4eb908903bcbb567f92488049,ec3eb26ab9e0bcdf5f3031a9f41c8de5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
95770267429c4b7118a82bb8b4f2be54,8,4,1,672780,6940,0,0,0,0,e2d25dd55740327314a2a0b874621ba8,5254f09164f6bcfba80a12e595ca4724,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6940,0,0,0,0,0,0,0,0,0,0,0,0
95770267429c4b7118a82bb8b4f2be54,9,1,1,672920,6800,1,3,0,0,e2d25dd55740327314a2a0b874621ba8,59fa10b4c9f3cd3cf1048a41966fe24e,a05b7a85a87b3c7789bf03ec6de8a132,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,6800,0,0,0,0,0,0,0,0,0,0,0,0
95770267429c4b7118a82bb8b4f2be54,11,2,1,673110,6610,79,2,0,0,8e90edc4eb908903bcbb567f92488049,5fd232375e25673e5a7ea79148b580e7,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
95770267429c4b7118a82bb8b4f2be54,12,4,1,673150,6570,0,0,0,0,8e90edc4eb908903bcbb567f92488049,a78b94cd8bd99d6621af9965df740b9c,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
95770267429c4b7118a82bb8b4f2be54,13,10,1,673410,6550,0,0,0,0,e2d25dd55740327314a2a0b874621ba8,a05b7a85a87b3c7789bf03ec6de8a132,a78b94cd8bd99d6621af9965df740b9c,a332971ac98803a5059664c432a420f5,3,4,5,5
