game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
b7a1056b097e5e604925867c0ca17442,2,12,1,637620,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
b7a1056b097e5e604925867c0ca17442,4,10,1,637640,7200,0,0,0,0,9eaab5de3f7ccd60442845f4e6b70a75,95c17413c3df2cb6709f0b23d27b5340,b265ffd84dbeef427136d140811e7d5f,3007e387a7d41a704390cb5878271b9a,3,4,5,5
b7a1056b097e5e604925867c0ca17442,7,2,1,637890,6920,1,3,0,0,0a6fc39f34702cff144525dfd265f8fa,324b2f11b1cd08156cceb7206ef69820,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
b7a1056b097e5e604925867c0ca17442,8,4,1,637920,6900,0,0,0,0,9eaab5de3f7ccd60442845f4e6b70a75,8ef226e011978823e53492a28d71217f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6900,0,0,0,0,0,0,0,0,0,0,0,0
b7a1056b097e5e604925867c0ca17442,9,1,1,638050,6760,52,2,0,0,9eaab5de3f7ccd60442845f4e6b70a75,0e6ad08f07aa1d0f125692af405249b9,3773aefed22b2274d2178f90bb6a858a,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,6760,0,0,0,0,0,0,0,0,0,0,0,0
b7a1056b097e5e604925867c0ca17442,11,2,1,638260,6550,1,3,0,0,0a6fc39f34702cff144525dfd265f8fa,3007e387a7d41a704390cb5878271b9a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
b7a1056b097e5e604925867c0ca17442,12,4,1,638290,6530,0,0,0,0,9eaab5de3f7ccd60442845f4e6b70a75,3773aefed22b2274d2178f90bb6a858a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6530,0,0,0,0,0,0,0,0,0,0,0,0
b7a1056b097e5e604925867c0ca17442,13,6,1,638370,6470,1,0,0,0,0a6fc39f34702cff144525dfd265f8fa,324b2f11b1cd08156cceb7206ef69820,8ef226e011978823e53492a28d71217f,0b1c631effab25d4af2d16fc123c3d31,2,5,4,1
b7a1056b097e5e604925867c0ca17442,15,2,1,638620,6370,1,2,0,0,9eaab5de3f7ccd60442845f4e6b70a75,0e6ad08f07aa1d0f125692af405249b9,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
b7a1056b097e5e604925867c0ca17442,16,4,1,638650,6350,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,3007e387a7d41a704390cb5878271b9a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,6350,0,0,0,0,0,0,0,0,0,0,0,0
