game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
c719eacc4252db10ae57c92a8a8e17d2,2,12,1,601530,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,4,10,1,601540,7200,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,b265ffd84dbeef427136d140811e7d5f,8c646f2710d4f64955903039fdc6374e,87d5036c732e89f1d2566f24b5c17113,3,4,5,5
c719eacc4252db10ae57c92a8a8e17d2,7,2,1,601690,7030,44,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,87d5036c732e89f1d2566f24b5c17113,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
c719eacc4252db10ae57c92a8a8e17d2,8,4,1,601710,7020,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,95c8abc40fb4ecf4fa5627975450dc95,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,7020,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,9,2,1,601790,6930,79,3,0,0,0a6fc39f34702cff144525dfd265f8fa,3007e387a7d41a704390cb5878271b9a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
c719eacc4252db10ae57c92a8a8e17d2,10,4,1,601820,6910,0,0,0,0,012059d397c0b7e5a30a5bb89c0b075e,4b35bf5cc8eebb940aa41c466bff7277,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,6910,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,11,1,1,601920,6810,1,3,0,0,012059d397c0b7e5a30a5bb89c0b075e,4b35bf5cc8eebb940aa41c466bff7277,8c646f2710d4f64955903039fdc6374e,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,6810,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,13,2,1,602120,6610,75,2,0,0,0a6fc39f34702cff144525dfd265f8fa,cf81e3b197158f3ddedae95005aa9859,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
c719eacc4252db10ae57c92a8a8e17d2,14,4,1,602140,6580,0,0,0,0,012059d397c0b7e5a30a5bb89c0b075e,87d5036c732e89f1d2566f24b5c17113,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,6580,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,36,2,1,602170,6550,41,2,1,0,012059d397c0b7e5a30a5bb89c0b075e,b43d8e250bbf5bf03bcbbd2f48141acd,0370a0d090da0d0edc6319f120187e0e,3007e387a7d41a704390cb5878271b9a,3,5,0,4
c719eacc4252db10ae57c92a8a8e17d2,38,4,1,602170,6540,0,0,0,0,012059d397c0b7e5a30a5bb89c0b075e,4b35bf5cc8eebb940aa41c466bff7277,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
c719eacc4252db10ae57c92a8a8e17d2,15,2,1,602230,6490,1,3,0,0,012059d397c0b7e5a30a5bb89c0b075e,b43d8e250bbf5bf03bcbbd2f48141acd,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
c719eacc4252db10ae57c92a8a8e17d2,16,4,1,602250,6470,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,95c8abc40fb4ecf4fa5627975450dc95,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6470,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,17,6,1,602360,6390,1,0,0,0,012059d397c0b7e5a30a5bb89c0b075e,f42e50d6a567798c9540b0cf7447337e,3007e387a7d41a704390cb5878271b9a,81efe876f336ab00d7331d21e9ac06dd,2,5,4,1
c719eacc4252db10ae57c92a8a8e17d2,19,5,1,602680,6270,2,1,0,0,0a6fc39f34702cff144525dfd265f8fa,cf81e3b197158f3ddedae95005aa9859,f42e50d6a567798c9540b0cf7447337e,0370a0d090da0d0edc6319f120187e0e,2,4,5,0
0,0,0,0,0,6270,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,21,2,1,602790,6170,75,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,8c646f2710d4f64955903039fdc6374e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
c719eacc4252db10ae57c92a8a8e17d2,22,4,1,602820,6130,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,fe8aca56ad93b72526d622348b190ec3,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6130,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,23,2,1,602930,6020,1,2,0,0,0a6fc39f34702cff144525dfd265f8fa,95c8abc40fb4ecf4fa5627975450dc95,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
c719eacc4252db10ae57c92a8a8e17d2,24,4,1,602960,5990,0,0,0,0,012059d397c0b7e5a30a5bb89c0b075e,8c646f2710d4f64955903039fdc6374e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,5990,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,25,1,1,603070,5880,98,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,4b35bf5cc8eebb940aa41c466bff7277,b43d8e250bbf5bf03bcbbd2f48141acd,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,5880,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,27,2,1,603220,5740,6,2,0,0,0a6fc39f34702cff144525dfd265f8fa,3007e387a7d41a704390cb5878271b9a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
c719eacc4252db10ae57c92a8a8e17d2,28,4,1,603230,5720,0,0,0,0,012059d397c0b7e5a30a5bb89c0b075e,8c646f2710d4f64955903039fdc6374e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,5720,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,29,2,1,603290,5660,1,3,0,0,012059d397c0b7e5a30a5bb89c0b075e,8c646f2710d4f64955903039fdc6374e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
c719eacc4252db10ae57c92a8a8e17d2,30,4,1,603340,5610,0,0,0,0,0a6fc39f34702cff144525dfd265f8fa,95c8abc40fb4ecf4fa5627975450dc95,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,5610,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,32,5,1,603510,5510,39,0,0,0,0a6fc39f34702cff144525dfd265f8fa,95c8abc40fb4ecf4fa5627975450dc95,0370a0d090da0d0edc6319f120187e0e,81efe876f336ab00d7331d21e9ac06dd,2,4,0,1
0,0,0,0,0,5510,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,33,1,1,603750,5370,1,3,0,0,012059d397c0b7e5a30a5bb89c0b075e,4b35bf5cc8eebb940aa41c466bff7277,f42e50d6a567798c9540b0cf7447337e,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,5370,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,35,9,1,603820,5360,1,0,0,0,0a6fc39f34702cff144525dfd265f8fa,9cae6a7543015cd3dd8ce41776bef14d,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,2,0,0
c719eacc4252db10ae57c92a8a8e17d2,39,1,1,606150,5170,1,3,0,0,0a6fc39f34702cff144525dfd265f8fa,fe8aca56ad93b72526d622348b190ec3,cf81e3b197158f3ddedae95005aa9859,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,5170,0,0,0,0,0,0,0,0,0,0,0,0
c719eacc4252db10ae57c92a8a8e17d2,41,2,1,606350,4960,6,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,b43d8e250bbf5bf03bcbbd2f48141acd,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
c719eacc4252db10ae57c92a8a8e17d2,42,4,1,606380,4960,0,0,0,0,012059d397c0b7e5a30a5bb89c0b075e,b43d8e250bbf5bf03bcbbd2f48141acd,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
c719eacc4252db10ae57c92a8a8e17d2,43,2,1,606380,4950,97,2,0,0,012059d397c0b7e5a30a5bb89c0b075e,b43d8e250bbf5bf03bcbbd2f48141acd,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
