game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
c92a96dcef0009c7d3583cd2e603099c,2,12,1,511630,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
c92a96dcef0009c7d3583cd2e603099c,4,10,1,511650,7200,0,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,99104de2626f67c1fa2ce70504970c3f,95920e4bf5b6c15ba8dffbf959b38ba5,fb64ca4b8beaf4c4c6e4575fe2f3abd7,3,4,5,5
c92a96dcef0009c7d3583cd2e603099c,7,2,1,511700,7130,1,3,0,0,8362dfecb7412f12a12713852d2ae566,7f438c18058290903c46dfe9d71bd68a,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
c92a96dcef0009c7d3583cd2e603099c,8,4,1,511720,7100,0,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,99104de2626f67c1fa2ce70504970c3f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,7100,0,0,0,0,0,0,0,0,0,0,0,0
c92a96dcef0009c7d3583cd2e603099c,9,5,1,511820,7030,13,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,e814950408915f43de2b079dce7c21c5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
0,0,0,0,0,7030,0,0,0,0,0,0,0,0,0,0,0,0
c92a96dcef0009c7d3583cd2e603099c,10,2,1,512090,6920,3,2,0,0,8362dfecb7412f12a12713852d2ae566,95920e4bf5b6c15ba8dffbf959b38ba5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
c92a96dcef0009c7d3583cd2e603099c,11,4,1,512120,6900,0,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,99104de2626f67c1fa2ce70504970c3f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6900,0,0,0,0,0,0,0,0,0,0,0,0
c92a96dcef0009c7d3583cd2e603099c,12,1,1,512150,6870,103,3,1,0,45ba8fc87f55b1191c50c400dc7ed11c,48ec4e6c52f418d5ca4ef510ba473ea0,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
0,0,0,0,0,6870,0,0,0,0,0,0,0,0,0,0,0,0
c92a96dcef0009c7d3583cd2e603099c,13,6,1,512320,6750,1,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,d81d912f81fa43178f423aa89a713e96,fb64ca4b8beaf4c4c6e4575fe2f3abd7,5201a0c1055bebf092c5ce178e5c7863,3,4,5,1
c92a96dcef0009c7d3583cd2e603099c,15,1,1,512550,6640,98,2,0,0,8362dfecb7412f12a12713852d2ae566,32c044aa84d75ccd78c3c9f2aeb33bd9,fb64ca4b8beaf4c4c6e4575fe2f3abd7,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,6640,0,0,0,0,0,0,0,0,0,0,0,0
c92a96dcef0009c7d3583cd2e603099c,17,2,1,512750,6440,1,3,0,0,45ba8fc87f55b1191c50c400dc7ed11c,616281dee946056b071699476fdee9ec,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
c92a96dcef0009c7d3583cd2e603099c,18,4,1,512790,6410,0,0,0,0,45ba8fc87f55b1191c50c400dc7ed11c,22fab2ecad98e9fed46efe57558bc41f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,3,0,0
c92a96dcef0009c7d3583cd2e603099c,19,2,1,513040,6250,1,3,0,0,8362dfecb7412f12a12713852d2ae566,95920e4bf5b6c15ba8dffbf959b38ba5,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
