game_id,event_num,event_msg_type,period,wc_time,pc_time,action_type,option1,option2,option3,team_id,person1,person2,person3,team_id_type,person1_type,person2_type,person3_type
d03a92390eb3db203f36d0d89ee9c0b9,2,12,1,567530,7200,0,0,0,0,1473d70e5646a26de3c52aa1abd85b1f,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,4,10,1,567530,7200,0,0,0,0,cff694c8186a4bd377de400e4f60fe47,d32d7f7ead681a3c45ac0401b025169b,682ee02d38c947defb4cf5e30fba6f96,16d76c912992709c8be29b896b8f9417,3,4,5,5
d03a92390eb3db203f36d0d89ee9c0b9,7,1,1,567680,7050,1,3,0,0,5df2526720f9ac092e202de922f5a65f,ade82b71d52bf8ebd00f724b25c87e95,7a1c1f680a11456d505f05fa70712213,0370a0d090da0d0edc6319f120187e0e,3,5,5,0
0,0,0,0,0,7050,0,0,0,0,0,0,0,0,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,9,2,1,567900,6810,1,3,0,0,cff694c8186a4bd377de400e4f60fe47,f1970daaab6bd4c23edea9c6e4305b12,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
d03a92390eb3db203f36d0d89ee9c0b9,10,4,1,567930,6800,0,0,0,0,5df2526720f9ac092e202de922f5a65f,7a1c1f680a11456d505f05fa70712213,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,5,0,0
0,0,0,0,0,6800,0,0,0,0,0,0,0,0,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,11,2,1,568040,6680,1,3,0,0,5df2526720f9ac092e202de922f5a65f,16d76c912992709c8be29b896b8f9417,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
d03a92390eb3db203f36d0d89ee9c0b9,12,4,1,568060,6650,0,0,0,0,cff694c8186a4bd377de400e4f60fe47,2d4ae904a46dd8141197a4bdbcbcebea,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6650,0,0,0,0,0,0,0,0,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,13,1,1,568150,6570,105,2,0,0,cff694c8186a4bd377de400e4f60fe47,2d4ae904a46dd8141197a4bdbcbcebea,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,2,4,0,0
0,0,0,0,0,6570,0,0,0,0,0,0,0,0,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,14,2,1,568310,6410,1,3,0,0,5df2526720f9ac092e202de922f5a65f,16d76c912992709c8be29b896b8f9417,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
d03a92390eb3db203f36d0d89ee9c0b9,15,4,1,568330,6390,0,0,0,0,cff694c8186a4bd377de400e4f60fe47,d32d7f7ead681a3c45ac0401b025169b,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,6390,0,0,0,0,0,0,0,0,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,16,5,1,568390,6320,1,1,0,0,cff694c8186a4bd377de400e4f60fe47,f1970daaab6bd4c23edea9c6e4305b12,ade82b71d52bf8ebd00f724b25c87e95,0370a0d090da0d0edc6319f120187e0e,2,4,5,0
0,0,0,0,0,6320,0,0,0,0,0,0,0,0,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,18,1,1,568490,6220,80,2,0,0,5df2526720f9ac092e202de922f5a65f,7a1c1f680a11456d505f05fa70712213,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
0,0,0,0,0,6220,0,0,0,0,0,0,0,0,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,19,1,1,568680,6040,1,3,0,0,cff694c8186a4bd377de400e4f60fe47,86f33f0bc083cd2e9c543c4631d5690b,2d4ae904a46dd8141197a4bdbcbcebea,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,6040,0,0,0,0,0,0,0,0,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,21,2,1,568900,5820,6,2,0,0,5df2526720f9ac092e202de922f5a65f,16d76c912992709c8be29b896b8f9417,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
d03a92390eb3db203f36d0d89ee9c0b9,22,4,1,568920,5810,0,0,0,0,cff694c8186a4bd377de400e4f60fe47,d32d7f7ead681a3c45ac0401b025169b,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,5810,0,0,0,0,0,0,0,0,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,23,1,1,568970,5750,1,3,1,0,cff694c8186a4bd377de400e4f60fe47,2d4ae904a46dd8141197a4bdbcbcebea,f1970daaab6bd4c23edea9c6e4305b12,0370a0d090da0d0edc6319f120187e0e,2,4,4,0
0,0,0,0,0,5750,0,0,0,0,0,0,0,0,0,0,0,0
d03a92390eb3db203f36d0d89ee9c0b9,25,2,1,569200,5520,3,2,0,0,5df2526720f9ac092e202de922f5a65f,682ee02d38c947defb4cf5e30fba6f96,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,5,0,0
d03a92390eb3db203f36d0d89ee9c0b9,26,4,1,569220,5520,0,0,0,0,cff694c8186a4bd377de400e4f60fe47,2d4ae904a46dd8141197a4bdbcbcebea,0370a0d090da0d0edc6319f120187e0e,0370a0d090da0d0edc6319f120187e0e,3,4,0,0
0,0,0,0,0,5520,0,0,0,0,0,0,0,0,0,0,0,0
